id,client_id,date,montant,nb_articles,entrepot,statut,delai_livraison_jours,mode_livraison
CMD001,C001,2024-12-15,95.50,3,Paris-Nord,Livrée,2,Express
CMD002,C003,2024-12-14,142.00,5,Lyon-Est,Livrée,3,Standard
CMD003,C004,2024-12-13,28.00,1,Paris-Nord,En cours,,Économique
CMD004,C002,2024-12-12,67.30,2,Marseille-Sud,Livrée,4,Standard
CMD005,C006,2024-12-11,189.00,6,Paris-Nord,Livrée,1,Express
CMD006,C009,2024-12-10,78.50,3,Lyon-Est,Livrée,2,Express
CMD007,C012,2024-12-09,215.00,8,Paris-Nord,Livrée,2,Express
CMD008,C005,2024-12-08,45.20,2,Marseille-Sud,Retournée,5,Économique
CMD009,C015,2024-12-07,132.00,4,Lyon-Est,Livrée,2,Standard
CMD010,C007,2024-12-06,22.00,1,Paris-Nord,Annulée,,Économique
CMD011,C018,2024-12-05,156.80,5,Marseille-Sud,Livrée,3,Standard
CMD012,C010,2024-12-04,58.00,2,Lyon-Est,Livrée,4,Économique
CMD013,C001,2024-11-28,87.00,3,Paris-Nord,Livrée,2,Express
CMD014,C003,2024-11-25,198.50,7,Lyon-Est,Livrée,3,Express
CMD015,C016,2024-11-20,25.00,1,Marseille-Sud,Retournée,6,Économique
CMD016,C014,2024-11-18,72.30,3,Paris-Nord,Livrée,3,Standard
CMD017,C006,2024-11-15,105.00,4,Paris-Nord,Livrée,1,Express
CMD018,C008,2024-11-12,38.50,2,Lyon-Est,Livrée,4,Économique
CMD019,C012,2024-11-08,178.00,6,Paris-Nord,Livrée,2,Express
CMD020,C019,2024-11-05,42.00,2,Marseille-Sud,Livrée,5,Standard
CMD021,C009,2024-10-30,95.00,3,Lyon-Est,Livrée,2,Express
CMD022,C015,2024-10-25,118.50,4,Lyon-Est,Livrée,3,Standard
CMD023,C002,2024-10-20,55.00,2,Marseille-Sud,Livrée,4,Standard
CMD024,C018,2024-10-15,145.00,5,Marseille-Sud,Livrée,3,Express
CMD025,C020,2024-10-10,82.00,3,Paris-Nord,Livrée,2,Standard
CMD026,C011,2024-10-05,35.00,1,Paris-Nord,Retournée,3,Économique
CMD027,C013,2024-09-28,48.50,2,Lyon-Est,Livrée,4,Économique
CMD028,C017,2024-09-22,62.00,2,Marseille-Sud,Livrée,3,Standard
CMD029,C001,2024-09-15,92.00,3,Paris-Nord,Livrée,2,Express
CMD030,C006,2024-09-10,110.50,4,Paris-Nord,Livrée,1,Express
